device_type,hour,current_watts,avg_watts,rolling_avg,volatility,trend,label
Router,5,12.0,12,12.0,0.24,0.0,0
Mini Refrigerador,16,74.24,80,74.24,1.6,1.83,0
Lavadora,15,515.21,500,515.21,10.0,1.13,0
Lavadora,16,2500.0,500,500.0,10.0,0.0,18
Router,1,12.0,12,12.0,0.24,0.0,0
Lavadora,1,2500.0,500,500.0,10.0,0.0,18
Televisor,7,120.0,120,120.0,2.4,0.0,0
Televisor,4,120.0,120,120.0,2.4,0.0,0
Microondas,14,1000.0,1000,1000.0,20.0,0.0,0
Computadora,16,300.0,300,300.0,6.0,0.0,0
Secadora,10,12500.0,2500,2500.0,50.0,0.0,18
Router,15,11.72,12,11.72,0.24,-2.88,0
Mini Refrigerador,10,80.0,80,80.0,1.6,0.0,0
Mini Refrigerador,21,400.0,80,80.0,1.6,0.0,18
Aire Acondicionado,2,1102.1,1200,1102.1,24.0,-2.64,0
Secadora,23,2440.23,2500,2440.23,50.0,-1.58,0
Mini Refrigerador,22,85.01,80,85.01,1.6,3.03,0
Mini Refrigerador,10,84.94,80,84.94,1.6,3.87,0
Lavadora,17,472.56,500,472.56,10.0,3.73,0
Refrigerador,17,240.0,150,150.0,3.0,0.0,1
Luces,2,60.0,60,60.0,1.2,0.0,0
Lavadora,0,500.0,500,500.0,10.0,0.0,0
Computadora,9,309.82,300,309.82,6.0,-2.16,0
Microondas,5,978.58,1000,978.58,20.0,-2.66,0
Secadora,11,2652.44,2500,2652.44,50.0,-2.57,0
Aire Acondicionado,14,1983.48,1200,1983.48,24.0,1.09,4
Microondas,13,966.35,1000,966.35,20.0,3.11,0
Mini Refrigerador,14,80.01,80,80.01,1.6,2.39,0
Mini Refrigerador,5,400.0,80,80.0,1.6,0.0,18
Laptop,16,325.0,65,65.0,1.3,0.0,18
Horno,16,2200.0,2200,2200.0,44.0,0.0,0
Secadora,23,2500.0,2500,2500.0,50.0,0.0,0
Secadora,11,2606.43,2500,2606.43,50.0,4.57,0
Microondas,21,967.86,1000,967.86,20.0,-3.18,0
Calefactor,8,1427.19,1500,1427.19,30.0,-0.89,0
Mini Refrigerador,7,83.37,80,83.37,1.6,3.43,0
Microondas,5,1041.85,1000,1041.85,20.0,0.77,0
Laptop,19,70.74,65,70.74,1.3,-0.21,0
Laptop,18,65.0,65,65.0,1.3,0.0,0
Laptop,9,65.0,65,65.0,1.3,0.0,0
Microondas,7,985.22,1000,985.22,20.0,-3.13,0
Luces,18,56.22,60,56.22,1.2,-1.96,0
Televisor,13,120.0,120,120.0,2.4,0.0,0
Computadora,19,315.12,300,315.12,6.0,-3.59,0
Microondas,4,1000.0,1000,1000.0,20.0,0.0,0
Microondas,20,1000.66,1000,1000.66,20.0,-3.82,0
Laptop,3,70.68,65,70.68,1.3,-1.1,0
Router,16,11.93,12,11.93,0.24,2.9,0
Mini Refrigerador,1,80.0,80,80.0,1.6,0.0,0
Calefactor,10,1600.58,1500,1600.58,30.0,1.33,0
Refrigerador,18,240.0,150,150.0,3.0,0.0,1
Microondas,17,963.61,1000,963.61,20.0,4.22,0
Laptop,16,65.0,65,65.0,1.3,0.0,0
Refrigerador,5,240.0,150,150.0,3.0,0.0,1
Secadora,20,2534.41,2500,2534.41,50.0,-3.04,0
Horno,13,2200.0,2200,2200.0,44.0,0.0,0
Lavadora,9,522.23,500,522.23,10.0,-3.23,0
Horno,11,2200.0,2200,2200.0,44.0,0.0,0
Lavadora,1,506.1,500,506.1,10.0,-0.77,0
Lavadora,20,500.0,500,500.0,10.0,0.0,0
Microondas,18,993.4,1000,993.4,20.0,2.7,0
Secadora,14,2427.58,2500,2427.58,50.0,-3.94,0
Refrigerador,20,149.89,150,149.89,3.0,-2.23,0
Aire Acondicionado,15,2008.62,1200,2008.62,24.0,-1.79,4
Aire Acondicionado,17,1800.0,1200,1200.0,24.0,40.0,3
Televisor,16,120.0,120,120.0,2.4,0.0,0
Horno,11,1988.68,2200,1988.68,44.0,-0.54,0
Laptop,12,65.0,65,65.0,1.3,0.0,0
Router,4,12.8,12,12.8,0.24,3.14,0
Aire Acondicionado,13,1311.25,1200,1311.25,24.0,-3.21,0
Computadora,17,47.92,300,47.92,6.0,4.17,0
Router,23,12.41,12,12.41,0.24,-4.08,0
Televisor,8,120.0,120,120.0,2.4,0.0,0
Secadora,15,2401.3,2500,2401.3,50.0,-4.89,0
Microondas,6,1037.14,1000,1037.14,20.0,-4.99,0
Microondas,8,936.64,1000,936.64,20.0,4.29,0
Televisor,20,120.0,120,120.0,2.4,0.0,0
Aire Acondicionado,8,1150.51,1200,1150.51,24.0,3.8,0
Luces,1,54.76,60,54.76,1.2,1.38,0
Aire Acondicionado,19,1800.0,1200,1200.0,24.0,40.0,3
Computadora,18,300.0,300,300.0,6.0,0.0,0
Microondas,4,1000.0,1000,1000.0,20.0,0.0,0
Lavadora,14,500.0,500,500.0,10.0,0.0,0
Laptop,3,65.0,65,65.0,1.3,0.0,0
Laptop,9,70.27,65,70.27,1.3,3.28,0
Horno,13,2200.0,2200,2200.0,44.0,0.0,0
Luces,5,58.2,60,58.2,1.2,-1.54,0
Laptop,19,60.59,65,60.59,1.3,-0.78,0
Luces,5,60.0,60,60.0,1.2,0.0,0
Secadora,3,2500.0,2500,2500.0,50.0,0.0,0
Microondas,23,999.81,1000,999.81,20.0,-0.82,0
Luces,11,61.9,60,61.9,1.2,3.76,0
Luces,15,300.0,60,60.0,1.2,0.0,18
Aire Acondicionado,20,1636.83,1200,1636.83,24.0,-0.41,4
Televisor,23,110.72,120,110.72,2.4,3.12,0
Mini Refrigerador,11,80.0,80,80.0,1.6,0.0,0
Luces,11,60.0,60,60.0,1.2,0.0,0
Calefactor,8,1500.0,1500,1500.0,30.0,0.0,0
Horno,21,2048.65,2200,2048.65,44.0,4.14,0
Microondas,5,1000.0,1000,1000.0,20.0,0.0,0
Horno,9,2193.95,2200,2193.95,44.0,2.8,0
Aire Acondicionado,16,1914.17,1200,1914.17,24.0,-0.58,4
Microondas,13,1000.0,1000,1000.0,20.0,0.0,0
Router,4,12.0,12,12.0,0.24,0.0,0
Aire Acondicionado,21,1288.93,1200,1288.93,24.0,0.81,0
Luces,21,61.56,60,61.56,1.2,-3.09,0
Router,12,12.0,12,12.0,0.24,0.0,0
Mini Refrigerador,23,400.0,80,80.0,1.6,0.0,18
Calefactor,2,1602.87,1500,1602.87,30.0,-4.01,0
Calefactor,21,1500.0,1500,1500.0,30.0,0.0,0
Refrigerador,11,240.0,150,150.0,3.0,0.0,1
Calefactor,19,1500.0,1500,1500.0,30.0,0.0,0
Microondas,15,1025.21,1000,1025.21,20.0,-2.8,0
Refrigerador,19,135.23,150,135.23,3.0,4.88,0
Refrigerador,8,240.0,150,150.0,3.0,0.0,1
Luces,18,60.27,60,60.27,1.2,0.91,0
Televisor,3,3.0,120,3.0,2.4,4.01,0
Laptop,11,68.8,65,68.8,1.3,-4.32,0
Mini Refrigerador,20,80.0,80,80.0,1.6,0.0,0
Lavadora,8,502.9,500,502.9,10.0,-4.35,0
Refrigerador,4,162.05,150,162.05,3.0,-4.57,0
Luces,4,60.0,60,60.0,1.2,0.0,0
Mini Refrigerador,12,80.0,80,80.0,1.6,0.0,0
Calefactor,13,1500.0,1500,1500.0,30.0,0.0,0
Secadora,9,2716.58,2500,2716.58,50.0,-0.05,0
Laptop,8,63.23,65,63.23,1.3,-3.21,0
Laptop,6,71.14,65,71.14,1.3,0.85,0
Laptop,2,69.76,65,69.76,1.3,4.27,0
Computadora,11,75.3,300,75.3,6.0,-0.68,0
Horno,9,2098.11,2200,2098.11,44.0,-0.67,0
Luces,5,60.0,60,60.0,1.2,0.0,0
Luces,1,55.53,60,55.53,1.2,2.05,0
Mini Refrigerador,9,74.83,80,74.83,1.6,-1.68,0
Laptop,5,65.0,65,65.0,1.3,0.0,0
Laptop,22,65.0,65,65.0,1.3,0.0,0
Refrigerador,2,144.68,150,144.68,3.0,3.56,0
Router,14,12.0,12,12.0,0.24,0.0,0
Televisor,7,120.0,120,120.0,2.4,0.0,0
Lavadora,11,2500.0,500,500.0,10.0,0.0,18
Microondas,11,1000.0,1000,1000.0,20.0,0.0,0
Calefactor,17,1458.99,1500,1458.99,30.0,4.13,0
Secadora,12,2500.0,2500,2500.0,50.0,0.0,0
Televisor,16,127.87,120,127.87,2.4,-4.55,0
Microondas,17,1083.4,1000,1083.4,20.0,-0.71,0
Luces,7,63.71,60,63.71,1.2,-3.91,0
Microondas,5,1090.12,1000,1090.12,20.0,2.51,0
Router,14,11.21,12,11.21,0.24,-1.76,0
Secadora,23,2500.0,2500,2500.0,50.0,0.0,0
Computadora,0,300.0,300,300.0,6.0,0.0,0
Laptop,1,69.14,65,69.14,1.3,3.42,0
Lavadora,23,500.0,500,500.0,10.0,0.0,0
Lavadora,5,479.12,500,479.12,10.0,-1.48,0
Lavadora,12,500.0,500,500.0,10.0,0.0,0
Mini Refrigerador,9,81.12,80,81.12,1.6,2.79,0
Computadora,3,3.0,300,3.0,6.0,4.62,0
Secadora,12,2280.74,2500,2280.74,50.0,-0.11,0
Laptop,20,67.86,65,67.86,1.3,1.12,0
Luces,23,60.0,60,60.0,1.2,0.0,0
Luces,12,57.37,60,57.37,1.2,1.97,0
Lavadora,5,500.0,500,500.0,10.0,0.0,0
Mini Refrigerador,6,79.79,80,79.79,1.6,1.39,0
Calefactor,17,7500.0,1500,1500.0,30.0,0.0,18
Televisor,6,3.0,120,3.0,2.4,2.77,0
Laptop,7,65.0,65,65.0,1.3,0.0,0
Refrigerador,16,159.96,150,159.96,3.0,0.51,0
Calefactor,4,1645.94,1500,1645.94,30.0,-4.57,0
Luces,0,60.0,60,60.0,1.2,0.0,0
Microondas,4,5000.0,1000,1000.0,20.0,0.0,18
Secadora,8,2500.0,2500,2500.0,50.0,0.0,0
Refrigerador,18,240.0,150,150.0,3.0,0.0,1
Refrigerador,18,148.23,150,148.23,3.0,3.91,0
Refrigerador,4,240.0,150,150.0,3.0,0.0,1
Computadora,0,270.65,300,270.65,6.0,-1.93,0
Laptop,16,65.0,65,65.0,1.3,0.0,0
Microondas,23,1000.0,1000,1000.0,20.0,0.0,0
Computadora,7,83.37,300,83.37,6.0,3.52,0
Horno,0,2201.2,2200,2201.2,44.0,2.73,0
Microondas,23,949.16,1000,949.16,20.0,4.18,0
Horno,8,2200.0,2200,2200.0,44.0,0.0,0
Televisor,6,120.0,120,120.0,2.4,0.0,0
Laptop,16,69.75,65,69.75,1.3,-0.24,0
Calefactor,19,1500.0,1500,1500.0,30.0,0.0,0
Calefactor,17,1409.66,1500,1409.66,30.0,0.31,0
Mini Refrigerador,8,87.97,80,87.97,1.6,3.03,0
Horno,9,2240.9,2200,2240.9,44.0,-3.0,0
Aire Acondicionado,16,1209.45,1200,1209.45,24.0,1.05,0
Horno,19,2254.85,2200,2254.85,44.0,0.22,0
Luces,5,64.06,60,64.06,1.2,4.66,0
Horno,20,2259.81,2200,2259.81,44.0,-2.04,0
Aire Acondicionado,22,1688.18,1200,1688.18,24.0,0.37,4
Aire Acondicionado,15,1308.34,1200,1308.34,24.0,1.17,0
Laptop,5,59.14,65,59.14,1.3,1.26,0
Aire Acondicionado,19,1193.99,1200,1193.99,24.0,1.61,0
Lavadora,10,549.14,500,549.14,10.0,3.04,0
Mini Refrigerador,18,79.98,80,79.98,1.6,-4.88,0
Televisor,23,120.0,120,120.0,2.4,0.0,0
Televisor,1,120.0,120,120.0,2.4,0.0,0
Refrigerador,7,240.0,150,150.0,3.0,0.0,1
Lavadora,20,461.8,500,461.8,10.0,-3.09,0
Microondas,15,1000.0,1000,1000.0,20.0,0.0,0
Microondas,13,1013.31,1000,1013.31,20.0,1.61,0
Televisor,18,120.0,120,120.0,2.4,0.0,0
Calefactor,2,1398.55,1500,1398.55,30.0,4.67,0
Secadora,8,12500.0,2500,2500.0,50.0,0.0,18
Computadora,21,270.12,300,270.12,6.0,4.85,0
Calefactor,7,1441.85,1500,1441.85,30.0,2.9,0
Refrigerador,14,240.0,150,150.0,3.0,0.0,1
Luces,18,300.0,60,60.0,1.2,0.0,18
Microondas,18,1000.0,1000,1000.0,20.0,0.0,0
Computadora,3,300.0,300,300.0,6.0,0.0,17
Mini Refrigerador,7,86.33,80,86.33,1.6,3.17,0
Router,1,11.46,12,11.46,0.24,-4.82,0
Refrigerador,20,140.66,150,140.66,3.0,1.56,0
Televisor,8,112.32,120,112.32,2.4,-1.92,0
Mini Refrigerador,11,400.0,80,80.0,1.6,0.0,18
Calefactor,8,7500.0,1500,1500.0,30.0,0.0,18
Microondas,22,967.43,1000,967.43,20.0,1.7,0
Televisor,19,112.81,120,112.81,2.4,3.55,0
Computadora,0,360.0,300,300.0,0.1,0.0,7
Lavadora,14,474.7,500,474.7,10.0,4.0,0
Horno,5,2034.86,2200,2034.86,44.0,0.28,0
Calefactor,18,1500.0,1500,1500.0,30.0,0.0,0
Refrigerador,23,148.62,150,148.62,3.0,-4.96,0
Secadora,19,2262.78,2500,2262.78,50.0,2.76,0
Aire Acondicionado,23,1207.22,1200,1207.22,24.0,4.0,0
Mini Refrigerador,17,80.0,80,80.0,1.6,0.0,0
Luces,5,60.0,60,60.0,1.2,0.0,0
Aire Acondicionado,0,1602.82,1200,1602.82,24.0,-1.99,4
Computadora,21,360.0,300,300.0,0.1,0.0,7
Computadora,8,300.0,300,300.0,6.0,0.0,0
Aire Acondicionado,9,1086.97,1200,1086.97,24.0,-4.33,0
Microondas,23,1012.29,1000,1012.29,20.0,0.5,0
Mini Refrigerador,5,400.0,80,80.0,1.6,0.0,18
Laptop,5,65.0,65,65.0,1.3,0.0,0
Refrigerador,1,240.0,150,150.0,3.0,0.0,1
Luces,13,60.0,60,60.0,1.2,0.0,0
Refrigerador,5,155.93,150,155.93,3.0,4.81,0
Luces,10,56.01,60,56.01,1.2,-2.72,0
Televisor,18,127.71,120,127.71,2.4,-2.68,0
Router,6,11.82,12,11.82,0.24,3.44,0
Computadora,3,300.0,300,300.0,6.0,0.0,17
Laptop,19,69.47,65,69.47,1.3,-2.99,0
Luces,12,58.24,60,58.24,1.2,1.9,0
Router,21,12.0,12,12.0,0.24,0.0,0
Router,6,12.0,12,12.0,0.24,0.0,0
Televisor,20,116.58,120,116.58,2.4,-2.87,0
Lavadora,17,479.5,500,479.5,10.0,-2.81,0
Router,21,12.5,12,12.5,0.24,3.14,0
Luces,3,60.0,60,60.0,1.2,0.0,0
Lavadora,3,520.07,500,520.07,10.0,-2.54,0
Microondas,5,1000.0,1000,1000.0,20.0,0.0,0
Lavadora,23,2500.0,500,500.0,10.0,0.0,18
Laptop,4,65.0,65,65.0,1.3,0.0,0
Refrigerador,1,135.76,150,135.76,3.0,-0.38,0
Refrigerador,8,152.2,150,152.2,3.0,3.59,0
Router,1,60.0,12,12.0,0.24,0.0,18
Televisor,19,125.16,120,125.16,2.4,4.26,0
Luces,2,54.6,60,54.6,1.2,-2.21,0
Aire Acondicionado,15,1203.15,1200,1203.15,24.0,2.12,0
Microondas,11,906.65,1000,906.65,20.0,-1.97,0
Calefactor,21,1570.39,1500,1570.39,30.0,1.08,0
Calefactor,21,1628.18,1500,1628.18,30.0,-3.41,0
Aire Acondicionado,19,1155.0,1200,1155.0,24.0,4.1,0
Laptop,20,325.0,65,65.0,1.3,0.0,18
Calefactor,8,1500.0,1500,1500.0,30.0,0.0,0
Mini Refrigerador,7,83.72,80,83.72,1.6,2.61,0
Microondas,7,1084.06,1000,1084.06,20.0,3.01,0
Secadora,6,12500.0,2500,2500.0,50.0,0.0,18
Horno,6,2200.0,2200,2200.0,44.0,0.0,0
Lavadora,0,500.0,500,500.0,10.0,0.0,0
Secadora,18,2500.0,2500,2500.0,50.0,0.0,0
Televisor,4,3.0,120,3.0,2.4,-2.44,0
Secadora,8,2579.46,2500,2579.46,50.0,-1.62,0
Computadora,7,59.91,300,59.91,6.0,-3.36,0
Laptop,16,65.0,65,65.0,1.3,0.0,0
Microondas,19,5000.0,1000,1000.0,20.0,0.0,18
Calefactor,4,1500.0,1500,1500.0,30.0,0.0,0
Laptop,5,59.14,65,59.14,1.3,-1.51,0
Horno,20,2200.0,2200,2200.0,44.0,0.0,0
Computadora,23,360.0,300,300.0,0.1,0.0,7
Laptop,9,62.85,65,62.85,1.3,-3.05,0
Calefactor,6,1367.69,1500,1367.69,30.0,-3.41,0
Microondas,12,1029.33,1000,1029.33,20.0,1.58,0
Router,17,11.63,12,11.63,0.24,1.21,0
Aire Acondicionado,16,1254.16,1200,1254.16,24.0,4.34,0
Televisor,15,120.0,120,120.0,2.4,0.0,0
Lavadora,1,482.91,500,482.91,10.0,4.99,0
Luces,20,65.71,60,65.71,1.2,-0.47,0
Calefactor,23,1579.78,1500,1579.78,30.0,1.1,0
Luces,5,59.0,60,59.0,1.2,2.11,0
Horno,3,2147.74,2200,2147.74,44.0,-2.23,0
Televisor,16,118.06,120,118.06,2.4,-0.17,0
Calefactor,15,1636.17,1500,1636.17,30.0,-1.11,0
Router,5,12.0,12,12.0,0.24,0.0,0
Laptop,0,70.17,65,70.17,1.3,-4.65,0
Horno,18,2143.74,2200,2143.74,44.0,3.3,0
Mini Refrigerador,13,74.82,80,74.82,1.6,-3.61,0
Lavadora,18,500.0,500,500.0,10.0,0.0,0
Secadora,8,2719.1,2500,2719.1,50.0,-0.77,0
Refrigerador,2,145.04,150,145.04,3.0,2.93,0
Computadora,18,318.65,300,318.65,6.0,-1.41,0
Laptop,1,64.55,65,64.55,1.3,-1.44,0
Luces,1,64.04,60,64.04,1.2,-3.07,0
Aire Acondicionado,4,1181.64,1200,1181.64,24.0,-1.04,0
Router,17,12.52,12,12.52,0.24,4.77,0
Luces,8,60.0,60,60.0,1.2,0.0,0
Refrigerador,20,145.52,150,145.52,3.0,4.52,0
Horno,2,2419.07,2200,2419.07,44.0,-2.42,0
Aire Acondicionado,21,1800.0,1200,1200.0,24.0,40.0,3
Televisor,3,3.0,120,3.0,2.4,-2.78,0
Luces,22,61.44,60,61.44,1.2,-4.08,0
Secadora,12,2267.37,2500,2267.37,50.0,3.19,0
Horno,4,2200.0,2200,2200.0,44.0,0.0,0
Luces,7,60.0,60,60.0,1.2,0.0,0
Computadora,23,89.95,300,89.95,6.0,1.34,0
Secadora,0,2500.0,2500,2500.0,50.0,0.0,0
Secadora,17,2698.38,2500,2698.38,50.0,4.82,0
Calefactor,13,1391.43,1500,1391.43,30.0,-4.3,0
Televisor,7,126.66,120,126.66,2.4,3.39,0
Aire Acondicionado,2,1800.0,1200,1200.0,24.0,40.0,3
Televisor,16,120.0,120,120.0,2.4,0.0,0
Horno,1,2200.0,2200,2200.0,44.0,0.0,0
Televisor,10,119.79,120,119.79,2.4,0.78,0
Laptop,19,65.0,65,65.0,1.3,0.0,0
Mini Refrigerador,20,76.01,80,76.01,1.6,2.52,0
Luces,10,63.41,60,63.41,1.2,-3.76,0
Aire Acondicionado,11,1208.49,1200,1208.49,24.0,-1.72,0
Secadora,14,2683.5,2500,2683.5,50.0,0.51,0
Refrigerador,10,240.0,150,150.0,3.0,0.0,1
Luces,3,64.45,60,64.45,1.2,3.58,0
Mini Refrigerador,20,81.31,80,81.31,1.6,3.15,0
Televisor,14,121.76,120,121.76,2.4,4.16,0
Horno,14,2040.1,2200,2040.1,44.0,-1.39,0
Horno,4,1980.34,2200,1980.34,44.0,1.57,0
Laptop,2,65.09,65,65.09,1.3,1.42,0
Router,21,11.45,12,11.45,0.24,3.22,0
Horno,23,1994.1,2200,1994.1,44.0,3.8,0
Refrigerador,21,157.82,150,157.82,3.0,-3.33,0
Computadora,6,360.0,300,300.0,0.1,0.0,7
Router,22,12.0,12,12.0,0.24,0.0,0
Televisor,11,120.0,120,120.0,2.4,0.0,0
Televisor,2,120.0,120,120.0,2.4,0.0,0
Lavadora,23,500.0,500,500.0,10.0,0.0,0
Calefactor,2,1462.76,1500,1462.76,30.0,3.39,0
Microondas,20,909.78,1000,909.78,20.0,-1.25,0
Televisor,22,120.0,120,120.0,2.4,0.0,0
Horno,12,2368.7,2200,2368.7,44.0,1.48,0
Computadora,18,322.0,300,322.0,6.0,2.98,0
Calefactor,20,1499.0,1500,1499.0,30.0,-0.33,0
Secadora,1,2684.53,2500,2684.53,50.0,4.54,0
Mini Refrigerador,20,77.52,80,77.52,1.6,-0.43,0
Refrigerador,8,240.0,150,150.0,3.0,0.0,1
Router,17,13.19,12,13.19,0.24,3.26,0
Televisor,0,120.0,120,120.0,2.4,0.0,0
Laptop,22,325.0,65,65.0,1.3,0.0,18
Horno,0,2200.0,2200,2200.0,44.0,0.0,0
Televisor,18,112.11,120,112.11,2.4,2.5,0
Lavadora,1,498.81,500,498.81,10.0,4.34,0
Refrigerador,12,150.5,150,150.5,3.0,3.92,0
Lavadora,2,462.12,500,462.12,10.0,0.88,0
Aire Acondicionado,22,1190.52,1200,1190.52,24.0,-0.04,0
Lavadora,17,500.0,500,500.0,10.0,0.0,0
Aire Acondicionado,14,1240.39,1200,1240.39,24.0,0.38,0
Lavadora,22,545.72,500,545.72,10.0,-0.48,0
Refrigerador,0,157.07,150,157.07,3.0,-2.47,0
Horno,4,2200.0,2200,2200.0,44.0,0.0,0
Microondas,0,1076.65,1000,1076.65,20.0,-3.12,0
Mini Refrigerador,23,80.0,80,80.0,1.6,0.0,0
Horno,6,2183.75,2200,2183.75,44.0,4.34,0
Computadora,4,3.0,300,3.0,6.0,1.64,0
Luces,6,59.33,60,59.33,1.2,-4.77,0
Refrigerador,21,159.56,150,159.56,3.0,4.94,0
Computadora,3,3.0,300,3.0,6.0,1.04,0
Horno,0,1991.52,2200,1991.52,44.0,-2.48,0
Luces,4,60.0,60,60.0,1.2,0.0,0
Calefactor,10,1457.98,1500,1457.98,30.0,3.64,0
Horno,2,2255.2,2200,2255.2,44.0,-0.83,0
Refrigerador,13,151.17,150,151.17,3.0,-3.41,0
Horno,21,2222.35,2200,2222.35,44.0,-3.25,0
Horno,10,2200.0,2200,2200.0,44.0,0.0,0
Computadora,19,300.0,300,300.0,6.0,0.0,0
Televisor,6,3.0,120,3.0,2.4,-2.52,0
Aire Acondicionado,20,1199.1,1200,1199.1,24.0,-0.43,0
Televisor,0,120.0,120,120.0,2.4,0.0,0
Router,5,12.43,12,12.43,0.24,-2.5,0
Secadora,0,2329.18,2500,2329.18,50.0,0.75,0
Secadora,12,2500.0,2500,2500.0,50.0,0.0,0
Horno,5,2200.0,2200,2200.0,44.0,0.0,0
Televisor,21,121.59,120,121.59,2.4,3.52,0
Router,14,12.0,12,12.0,0.24,0.0,0
Lavadora,16,487.84,500,487.84,10.0,2.62,0
Refrigerador,1,154.88,150,154.88,3.0,0.14,0
Lavadora,14,544.8,500,544.8,10.0,-1.29,0
Microondas,8,932.05,1000,932.05,20.0,-0.63,0
Laptop,8,65.0,65,65.0,1.3,0.0,0
Microondas,16,1000.0,1000,1000.0,20.0,0.0,0
Lavadora,10,527.31,500,527.31,10.0,-0.21,0
Calefactor,7,1500.0,1500,1500.0,30.0,0.0,0
Secadora,11,2271.96,2500,2271.96,50.0,-0.54,0
Laptop,23,64.54,65,64.54,1.3,-3.39,0
Calefactor,4,1400.25,1500,1400.25,30.0,2.5,0
Lavadora,5,2500.0,500,500.0,10.0,0.0,18
Computadora,21,288.29,300,288.29,6.0,-4.83,0
Aire Acondicionado,22,1167.95,1200,1167.95,24.0,0.96,0
Router,14,12.9,12,12.9,0.24,-2.54,0
Horno,10,2200.0,2200,2200.0,44.0,0.0,0
Televisor,20,109.12,120,109.12,2.4,-0.94,0
Mini Refrigerador,14,83.79,80,83.79,1.6,0.79,0
Horno,13,2013.07,2200,2013.07,44.0,4.85,0
Laptop,18,65.0,65,65.0,1.3,0.0,0
Microondas,14,1000.0,1000,1000.0,20.0,0.0,0
Calefactor,19,1565.1,1500,1565.1,30.0,-0.35,0
Televisor,8,123.43,120,123.43,2.4,3.62,0
Calefactor,21,1456.21,1500,1456.21,30.0,2.98,0
Aire Acondicionado,10,1111.1,1200,1111.1,24.0,1.74,0
Router,6,12.0,12,12.0,0.24,0.0,0
Router,17,12.0,12,12.0,0.24,0.0,0
Refrigerador,19,240.0,150,150.0,3.0,0.0,1
Refrigerador,16,139.97,150,139.97,3.0,3.7,0
Computadora,6,300.0,300,300.0,6.0,0.0,17
Refrigerador,14,240.0,150,150.0,3.0,0.0,1
Calefactor,21,1500.0,1500,1500.0,30.0,0.0,0
Luces,7,61.28,60,61.28,1.2,4.72,0
Lavadora,15,500.0,500,500.0,10.0,0.0,0
Televisor,4,3.0,120,3.0,2.4,0.16,0
Refrigerador,21,144.37,150,144.37,3.0,-0.19,0
Aire Acondicionado,15,1298.49,1200,1298.49,24.0,0.19,0
Microondas,20,1046.21,1000,1046.21,20.0,-3.32,0
Luces,11,60.0,60,60.0,1.2,0.0,0
Lavadora,9,500.0,500,500.0,10.0,0.0,0
Refrigerador,23,156.44,150,156.44,3.0,0.7,0
Mini Refrigerador,1,83.58,80,83.58,1.6,4.53,0
Microondas,16,1007.88,1000,1007.88,20.0,1.26,0
Horno,2,2247.52,2200,2247.52,44.0,-3.01,0
Microondas,18,997.67,1000,997.67,20.0,-0.32,0
Calefactor,10,1522.79,1500,1522.79,30.0,-2.33,0
Luces,20,65.88,60,65.88,1.2,-2.59,0
Lavadora,10,515.92,500,515.92,10.0,3.21,0
Luces,16,60.0,60,60.0,1.2,0.0,0
Secadora,0,2645.82,2500,2645.82,50.0,-1.19,0
Horno,7,2319.92,2200,2319.92,44.0,0.09,0
Refrigerador,2,240.0,150,150.0,3.0,0.0,1
Calefactor,18,1399.39,1500,1399.39,30.0,-1.68,0
Aire Acondicionado,21,2134.22,1200,2134.22,24.0,-0.35,4
Secadora,6,2500.0,2500,2500.0,50.0,0.0,0
Calefactor,22,1489.3,1500,1489.3,30.0,-0.47,0
Televisor,14,131.11,120,131.11,2.4,-0.35,0
Aire Acondicionado,18,1229.02,1200,1229.02,24.0,3.86,0
Refrigerador,11,157.05,150,157.05,3.0,-2.35,0
Lavadora,11,504.0,500,504.0,10.0,4.03,0
Televisor,6,3.0,120,3.0,2.4,0.57,0
Laptop,6,65.0,65,65.0,1.3,0.0,0
Calefactor,19,7500.0,1500,1500.0,30.0,0.0,18
Mini Refrigerador,16,80.0,80,80.0,1.6,0.0,0
Router,6,12.0,12,12.0,0.24,0.0,0
Mini Refrigerador,0,80.0,80,80.0,1.6,0.0,0
Router,21,60.0,12,12.0,0.24,0.0,18
Refrigerador,13,137.01,150,137.01,3.0,2.61,0
Router,14,12.43,12,12.43,0.24,-4.25,0
Aire Acondicionado,21,2121.15,1200,2121.15,24.0,0.04,4
Mini Refrigerador,19,80.0,80,80.0,1.6,0.0,0
Aire Acondicionado,12,1800.0,1200,1200.0,24.0,40.0,3
Refrigerador,1,155.04,150,155.04,3.0,4.96,0
Lavadora,6,500.0,500,500.0,10.0,0.0,0
Refrigerador,13,141.68,150,141.68,3.0,2.86,0
Lavadora,7,500.0,500,500.0,10.0,0.0,0
Horno,9,2200.0,2200,2200.0,44.0,0.0,0
Horno,15,2200.0,2200,2200.0,44.0,0.0,0
Laptop,2,71.22,65,71.22,1.3,-3.35,0
Horno,8,2233.99,2200,2233.99,44.0,-2.01,0
Televisor,5,3.0,120,3.0,2.4,2.29,0
Microondas,12,941.29,1000,941.29,20.0,2.39,0
Computadora,2,3.0,300,3.0,6.0,-0.93,0
Luces,18,65.27,60,65.27,1.2,-3.88,0
Horno,17,11000.0,2200,2200.0,44.0,0.0,18
Secadora,9,2344.5,2500,2344.5,50.0,2.5,0
Aire Acondicionado,21,1699.86,1200,1699.86,24.0,0.78,4
Calefactor,14,1500.0,1500,1500.0,30.0,0.0,0
Horno,7,2200.0,2200,2200.0,44.0,0.0,0
